Short name;Full name;x;y
EK;Etelä-Karjala;565344;6771008
EP;Etelä-Pohjanmaa;286793;6967226
ES;Etelä-Savo;514196;6839787
HUS;Helsingin ja Uudenmaan;385114;6672391
IS;Itä-Savo;596636;6850731
KAI;Kainuu;533383;7123380
KH;Kanta-Häme;360224;6764374
KP;Keski-Pohjanmaa;308638;7085870
KS;Keski-Suomi;432936;6900420
KYM;Kymenlaakso;495262;6704140
L;Lappi;436967;7385582
LP;Länsi-Pohja;388132;7293094
P;Pirkanmaa;330717;6823427
PK;Pohjois-Karjala;642665;6943108
PP;Pohjois-Pohjanmaa;427984;7210660
PS;Pohjois-Savo;526476;6977399
PH;Päijät-Häme;422422;6762916
S;Satakunta;222465;6825873
V;Vaasa;228399;7006324
VS;Varsinais-Suomi;241827;6710363
